Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,2,24,7,1519,1524,1658,1712,UA,168,N933UA,99,108,86,-14,-5,BOI,DEN,649,4,9,0,,0,NA,NA,NA,NA,NA
2008,2,19,2,1454,1455,1653,1640,MQ,4716,N730KW,119,105,78,13,-1,LGA,RDU,431,5,36,0,,0,NA,NA,NA,NA,NA
2008,2,21,4,1853,1830,2032,1943,9E,2962,84449E,99,73,44,49,23,DAY,DTW,166,9,46,0,,0,0,0,26,0,23
2008,3,2,7,2053,2055,2346,2346,UA,640,N837UA,113,111,84,0,-2,ORD,ATL,606,9,20,0,,0,NA,NA,NA,NA,NA
2008,2,28,4,2144,1655,2326,1853,DL,465,N908DL,102,118,83,273,289,DCA,ATL,547,9,10,0,,0,0,0,0,0,273
2008,4,11,5,930,935,1012,1014,YV,1035,N693BR,42,39,21,-2,-5,HNL,LIH,102,4,17,0,,0,NA,NA,NA,NA,NA
2008,2,5,2,1013,1020,1215,1230,EV,4417,N738EV,122,130,96,-15,-7,ATL,SYR,793,5,21,0,,0,NA,NA,NA,NA,NA
2008,4,29,2,1401,1400,1545,1528,YV,7129,N507MJ,104,88,73,17,1,ORD,BNA,409,3,28,0,,0,17,0,0,0,0
2008,1,9,3,752,800,1317,1329,FL,521,N166AT,205,209,186,-12,-8,PHX,ATL,1587,9,10,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,2001,1955,37,40,WN,2702,N777QC,156,165,143,-3,6,LAS,HOU,1235,2,11,0,,0,NA,NA,NA,NA,NA
2008,3,21,5,930,915,1415,1417,XE,12,N11194,165,182,150,-2,15,ONT,MCI,1318,5,10,0,,0,NA,NA,NA,NA,NA
2008,4,11,5,1210,1215,1243,1253,YV,2825,N17358,93,98,60,-10,-5,SLC,PHX,507,23,10,0,,0,NA,NA,NA,NA,NA
2008,3,24,1,600,600,838,845,UA,922,N464UA,98,105,82,-7,0,ORD,IAD,589,4,12,0,,0,NA,NA,NA,NA,NA
2008,4,8,2,2348,2350,652,721,US,49,N915AW,244,271,226,-29,-2,LAS,DCA,2089,4,14,0,,0,NA,NA,NA,NA,NA
2008,2,15,5,1137,1120,1214,1157,US,1195,N110UW,97,97,59,17,17,PHX,LAX,370,11,27,0,,0,0,0,0,0,17
2008,1,15,2,1227,1230,1348,1355,WN,1375,N522SW,81,85,69,-7,-3,MHT,PHL,290,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,645,650,754,752,MQ,3001,N317AE,69,62,31,2,-5,LAX,SAN,109,18,20,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1055,1104,1231,1239,OH,5435,N798CA,96,95,83,-8,-9,RDU,CVG,390,3,10,0,,0,NA,NA,NA,NA,NA
2008,2,15,5,813,815,929,930,MQ,3011,N317AE,76,75,56,-1,-2,LAX,FAT,209,2,18,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1155,1159,1724,1730,DL,856,N124DE,209,211,177,-6,-4,PHX,ATL,1587,8,24,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,1030,1035,1112,1109,HA,525,N479HA,42,34,26,3,-5,OGG,HNL,100,8,8,0,,0,NA,NA,NA,NA,NA
2008,2,3,7,1318,1320,1504,1520,DL,70,N938DL,106,120,86,-16,-2,MIA,ATL,595,6,14,0,,0,NA,NA,NA,NA,NA
2008,4,3,4,553,600,807,813,DL,1220,N979DL,74,73,51,-6,-7,MEM,ATL,332,9,14,0,,0,NA,NA,NA,NA,NA
2008,1,27,7,1436,1430,1545,1530,WN,112,N608SW,129,120,114,15,6,SLC,LAX,590,6,9,0,,0,6,0,9,0,0
2008,3,12,3,721,725,741,750,WN,2097,N644SW,80,85,64,-9,-4,DTW,BNA,457,4,12,0,,0,NA,NA,NA,NA,NA
2008,2,3,7,1716,1720,1754,1804,NW,318,N8929E,38,44,21,-10,-4,LAS,JFK,56,3,14,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,954,935,1143,1135,WN,2639,N754SW,109,120,95,8,19,OAK,GEG,723,3,11,0,,0,NA,NA,NA,NA,NA
2008,2,24,7,2028,2020,2143,2147,FL,742,N313AT,75,87,55,-4,8,ATL,MCO,403,8,12,0,,0,NA,NA,NA,NA,NA
2008,3,9,7,1745,1750,2012,2026,9E,3705,84099E,87,96,63,-14,-5,LAS,JFK,373,13,11,0,,0,NA,NA,NA,NA,NA
